target_inst	target_inst_prestige	target_inst_rank	year_adopted	source_inst
Memorial University of Newfoundland	173.29	188	inf	
University of Oklahoma	116.24	109	inf	
University of Washington	11.06	9	2010	
New Jersey Institute of Technology	120.85	114	inf	
Washington University, St. Louis	46.4	42	inf	
University of Idaho, Moscow	164.22	176	inf	
Northwestern University	44.47	41	inf	
University of Nevada, Las Vegas	171.62	186	inf	
University of Toronto	24.79	20	2011	
University of North Carolina, Charlotte	152.67	162	inf	
Santa Clara University	153.65	164	inf	
University of Maryland, College Park	28.65	26	1998	
Rensselaer Polytechnic Institute	79.68	69	inf	
University of Missouri, Kansas City	138.72	140	inf	
University of Oregon	54.86	46	inf	
University of Delaware	87.66	83	2006	
Auburn University	126.69	122	inf	
All others	206	205	inf	
University of Calgary	100.27	90	inf	
New Mexico Institute of Mining and Technology	182.28	201	inf	
Florida State University	74.98	61	inf	
University of Chicago	18.82	16	inf	
Colorado State University	124.6	117	inf	
Cornell University	8.29	5	2011	
Claremont Graduate University	150.95	157	inf	
Duke University	30.5	29	inf	
Tufts University	146.5	153	inf	
University of Montreal	78.54	64	inf	
Portland State University	113.61	106	inf	
Carnegie Mellon University	9.28	6	2005	
University of Alabama, Huntsville	163.89	175	2008	
University of Georgia	145.66	151	inf	
University of Western Ontario	100.9	92	inf	
University of Denver	133.81	131	inf	
Simon Fraser University	78.97	65	2007	
Illinois Institute of Technology	117.72	111	inf	
Indiana University	116.75	110	inf	
University of Colorado, Colorado Springs	169.16	183	inf	
University of New Mexico	81.65	72	inf	
University of Alberta	86.24	79	inf	
Dartmouth College	37.9	32	inf	
University of Tennessee, Knoxville	119.03	112	inf	
Catholic University of America	151.04	158	inf	
Stevens Institute of Technology	82.4	75	inf	
North Dakota State University	176.03	191	inf	
