target_inst	target_inst_prestige	target_inst_rank	year_adopted	source_inst
Utah State University	173.75	189	inf	
University of Hawaii, Manoa	154.88	165	inf	
University of Arizona	40.57	38	inf	
University of Alabama, Tuscaloosa	186.81	203	1993	
University of Arkansas, Little Rock	181.14	198	inf	
Purdue University	38.27	34	1987	University of Southern California
Kansas State University	109.31	102	1999	University of Illinois, Urbana Champaign
University of Notre Dame	98.8	88	1990	
University of Nebraska, Omaha	179.97	196	1995	
Memorial University of Newfoundland	173.29	188	inf	
University of Oklahoma	116.24	109	2001	University of Minnesota, Minneapolis
University of Washington	11.06	9	1989	
New Jersey Institute of Technology	120.85	114	1992	
Washington University, St. Louis	46.4	42	inf	
University of Idaho, Moscow	164.22	176	inf	
Northwestern University	44.47	41	1994	
University of Nevada, Las Vegas	171.62	186	inf	
University of Toronto	24.79	20	1995	University of Toronto
University of North Carolina, Charlotte	152.67	162	1986	University of Maryland, College Park
Santa Clara University	153.65	164	1989	University of Louisiana, Lafayette
University of Maryland, College Park	28.65	26	1989	
Rensselaer Polytechnic Institute	79.68	69	1991	
University of Missouri, Kansas City	138.72	140	inf	
University of Oregon	54.86	46	2004	
University of Delaware	87.66	83	inf	
Auburn University	126.69	122	2008	
All others	206	205	inf	
University of Calgary	100.27	90	2009	
New Mexico Institute of Mining and Technology	182.28	201	inf	
Florida State University	74.98	61	2007	
University of Chicago	18.82	16	inf	
Colorado State University	124.6	117	1989	
Cornell University	8.29	5	inf	
Claremont Graduate University	150.95	157	inf	
Duke University	30.5	29	inf	
Tufts University	146.5	153	inf	
University of Montreal	78.54	64	1993	McGill University
Portland State University	113.61	106	inf	
Carnegie Mellon University	9.28	6	1992	
University of Alabama, Huntsville	163.89	175	inf	
University of Georgia	145.66	151	1993	
University of Western Ontario	100.9	92	inf	
University of Denver	133.81	131	2011	
Simon Fraser University	78.97	65	1997	
Illinois Institute of Technology	117.72	111	inf	
Indiana University	116.75	110	1988	UCLA
University of Colorado, Colorado Springs	169.16	183	inf	
University of New Mexico	81.65	72	inf	
University of Alberta	86.24	79	inf	
Dartmouth College	37.9	32	inf	
University of Tennessee, Knoxville	119.03	112	1993	
Catholic University of America	151.04	158	inf	
Stevens Institute of Technology	82.4	75	inf	
North Dakota State University	176.03	191	1990	
