infection_prob	prestige	size
0.1	1.54	0.87925
0.1	2.41	0.8785208333333333
0.1	4.8	0.8785347222222223
0.1	5.16	0.8767430555555555
0.1	5.45	0.8796527777777777
0.1	6.19	0.8794236111111111
0.1	7.0	0.8783125000000002
0.1	9.97	0.6843819444444444
0.1	10.84	0.8361597222222221
0.1	11.66	0.8624652777777778
0.1	11.85	0.8704027777777779
0.1	13.94	0.8721319444444444
0.1	14.01	0.8610277777777778
0.1	15.65	0.7837500000000002
0.1	17.39	0.7924097222222222
0.1	17.74	0.7425833333333333
0.1	18.46	0.45759027777777783
0.1	18.69	0.5724305555555557
0.1	20.44	0.7672916666666666
0.1	23.18	0.5714861111111111
0.1	25.01	0.6744722222222223
0.1	25.21	0.6892222222222222
0.1	27.27	0.6560208333333333
0.1	28.0	0.6386736111111111
0.1	29.17	0.6442569444444446
0.1	29.69	0.11542361111111112
0.1	32.1	0.553
0.1	33.77	0.299125
0.1	35.45	0.6254166666666667
0.1	35.83	0.12528472222222223
0.1	37.48	0.5420347222222222
0.1	37.78	0.29777777777777775
0.1	40.18	0.5450763888888889
0.1	41.6	0.18563194444444442
0.1	42.05	0.22191666666666668
0.1	43.05	0.29848611111111106
0.1	45.07	0.21915972222222224
0.1	45.41	0.40511111111111114
0.1	46.0	0.15471527777777777
0.1	46.1	0.3192291666666667
0.1	46.53	0.11520138888888888
0.1	47.59	0.09275694444444445
0.1	47.71	0.03349305555555555
0.1	48.11	0.05527777777777777
0.1	48.68	0.057798611111111106
0.1	50.83	0.12360416666666665
0.1	51.36	0.15561805555555555
0.1	51.57	0.21910416666666668
0.1	53.53	0.07093749999999999
0.1	54.79	0.04648611111111112
0.1	55.13	0.22813888888888892
0.1	56.23	0.1295
0.1	56.37	0.10264583333333333
0.1	58.48	0.10991666666666666
0.1	59.19	0.11627083333333332
0.1	59.2	0.08699999999999998
0.1	60.87	0.3249722222222222
0.1	63.54	0.02738194444444444
0.1	63.91	0.11580555555555554
0.1	65.01	0.13256944444444446
0.1	67.84	0.12914583333333332
0.1	69.04	0.10540972222222221
0.1	69.26	0.21402777777777776
0.1	71.29	0.14641666666666667
0.1	71.68	0.05922916666666666
0.1	72.35	0.010659722222222225
0.1	73.26	0.03969444444444444
0.1	74.21	0.17424305555555555
0.1	74.3	0.03615972222222222
0.1	74.31	0.11220138888888889
0.1	75.99	0.10988888888888888
0.1	76.92	0.009236111111111113
0.1	76.97	0.011159722222222225
0.1	77.39	0.006944444444444447
0.1	77.6	0.07067361111111112
0.1	78.29	0.008430555555555557
0.1	79.47	0.08902777777777778
0.1	80.84	0.035715277777777776
0.1	83.11	0.02361805555555556
0.1	83.33	0.01638888888888889
0.1	83.99	0.03253472222222222
0.1	84.09	0.03918055555555555
0.1	84.6	0.01582638888888889
0.1	84.69	0.010694444444444446
0.1	85.89	0.018041666666666664
0.1	86.51	0.05486111111111111
0.1	87.35	0.010652777777777778
0.1	88.85	0.009423611111111114
0.1	90.22	0.020645833333333332
0.1	90.84	0.03688194444444444
0.1	91.22	0.015229166666666667
0.1	93.18	0.09220833333333332
0.1	93.47	0.040625
0.1	93.82	0.2511666666666667
0.1	93.91	0.011381944444444446
0.1	94.03	0.018569444444444444
0.1	94.98	0.021666666666666667
0.1	96.38	0.02908333333333333
0.1	97.19	0.17988194444444447
0.1	99.42	0.008930555555555558
0.1	99.55	0.006944444444444447
0.1	99.6	0.008444444444444447
0.1	100.11	0.01872222222222222
0.1	100.7	0.008354166666666668
0.1	101.75	0.020069444444444442
0.1	102.67	0.040249999999999994
0.1	102.94	0.009402777777777779
0.1	103.88	0.006944444444444447
0.1	104.87	0.025763888888888885
0.1	104.93	0.10728472222222223
0.1	106.7	0.020548611111111108
0.1	106.74	0.006944444444444447
0.1	107.71	0.11565972222222223
0.1	108.36	0.02247222222222222
0.1	110.88	0.009027777777777779
0.1	111.93	0.006944444444444447
0.1	112.1	0.006944444444444447
0.1	112.31	0.07165972222222222
0.1	113.16	0.007972222222222224
0.1	113.49	0.00752777777777778
0.1	115.09	0.006944444444444447
0.1	115.5	0.015145833333333332
0.1	115.76	0.00782638888888889
0.1	116.22	0.008673611111111113
0.1	116.38	0.009645833333333334
0.1	117.0	0.006944444444444447
0.1	117.54	0.008361111111111114
0.1	118.42	0.007631944444444446
0.1	119.66	0.006944444444444447
0.1	120.16	0.006944444444444447
0.1	122.43	0.006944444444444447
0.1	122.59	0.006944444444444447
0.1	122.79	0.07777777777777777
0.1	122.94	0.006944444444444447
0.1	123.37	0.006944444444444447
0.1	123.83	0.008284722222222225
0.1	123.89	0.006944444444444447
0.1	124.26	0.006944444444444447
0.1	125.73	0.006944444444444447
0.1	125.93	0.006944444444444447
0.1	127.36	0.006944444444444447
0.1	129.9	0.006944444444444447
0.1	130.04	0.02331944444444444
0.1	135.54	0.006944444444444447
0.30000000000000004	1.54	0.9923333333333333
0.30000000000000004	2.41	0.9922708333333332
0.30000000000000004	4.8	0.9925833333333333
0.30000000000000004	5.16	0.9925069444444443
0.30000000000000004	5.45	0.9923819444444444
0.30000000000000004	6.19	0.9927638888888888
0.30000000000000004	7.0	0.9928541666666665
0.30000000000000004	9.97	0.9922013888888886
0.30000000000000004	10.84	0.9924513888888888
0.30000000000000004	11.66	0.9924166666666665
0.30000000000000004	11.85	0.9922361111111111
0.30000000000000004	13.94	0.9919999999999999
0.30000000000000004	14.01	0.9925347222222222
0.30000000000000004	15.65	0.9921736111111111
0.30000000000000004	17.39	0.9926597222222221
0.30000000000000004	17.74	0.9924861111111111
