x1,y1,x2,y2
450,450,450,450
450,450,366.62960837868684,366.62960837868684
450,450,237.62470667434508,237.62470667434508
450,450,510.4271378787532,510.4271378787532
450,450,396.58036828321747,396.58036828321747
450,450,528.5214477408031,528.5214477408031
450,450,548.2088317927761,548.2088317927761
450,450,398.51465726633774,398.51465726633774
450,450,355.18459407317175,355.18459407317175
450,450,408.8441074651404,408.8441074651404
450,450,498.9948107964839,498.9948107964839
450,450,480.322437091193,480.322437091193
450,450,450.5071603189949,450.5071603189949
450,450,468.69593665938356,468.69593665938356
450,450,418.9450177032361,418.9450177032361
450,450,453.9763847544015,453.9763847544015
450,450,391.90526597471575,391.90526597471575
450,450,433.0963217318394,433.0963217318394
450,450,382.92998986078976,382.92998986078976
450,450,403.6013740094512,403.6013740094512
450,450,418.13874111333337,418.13874111333337
450,450,437.3196632006204,437.3196632006204
450,450,603.9430522840815,603.9430522840815
450,450,361.58310804890493,361.58310804890493
450,450,525.6466111999002,525.6466111999002
450,450,584.4972811608305,584.4972811608305
450,450,482.73906908133847,482.73906908133847
450,450,419.48200129259226,419.48200129259226
450,450,435.4243240747974,435.4243240747974
450,450,553.2807069308984,553.2807069308984
450,450,469.14631319255244,469.14631319255244
450,450,469.4121913940607,469.4121913940607
450,450,422.9999857694696,422.9999857694696
450,450,375.634611533215,375.634611533215
450,450,396.20505001397794,396.20505001397794
450,450,368.47875264991325,368.47875264991325
450,450,392.0257744738,392.0257744738
450,450,515.4279694433718,515.4279694433718
450,450,475.94659539685705,475.94659539685705
450,450,384.0213658368985,384.0213658368985
450,450,523.0078938001997,523.0078938001997
450,450,403.7276956532678,403.7276956532678
450,450,532.8169559520679,532.8169559520679
450,450,424.30760088220325,424.30760088220325
450,450,451.3036830038393,451.3036830038393
450,450,375.645836470425,375.645836470425
450,450,420.69275539373893,420.69275539373893
450,450,419.00464514123263,419.00464514123263
450,450,408.1475211074382,408.1475211074382
450,450,489.9055672394627,489.9055672394627
450,450,494.1917800736751,494.1917800736751
450,450,463.5551779741264,463.5551779741264
450,450,436.5333473907437,436.5333473907437
450,450,386.45087109429574,386.45087109429574
450,450,407.11945986633697,407.11945986633697
450,450,437.0510845680672,437.0510845680672
450,450,515.4026150313431,515.4026150313431
450,450,421.0088174158549,421.0088174158549
450,450,427.0679856295427,427.0679856295427
450,450,490.8505525712732,490.8505525712732
450,450,452.55752397662167,452.55752397662167
450,450,472.3126471766036,472.3126471766036
450,450,508.0699334147523,508.0699334147523
450,450,457.96410355674914,457.96410355674914
450,450,439.300952707748,439.300952707748
450,450,469.3763551025266,469.3763551025266
450,450,497.67586403809423,497.67586403809423
450,450,477.7765402870975,477.7765402870975
450,450,485.2384107626213,485.2384107626213
450,450,494.03513990686787,494.03513990686787
450,450,473.5546490954396,473.5546490954396
450,450,498.78395678288996,498.78395678288996
450,450,452.2645825168569,452.2645825168569
366.62960837868684,210.49777917260354,450,450
366.62960837868684,210.49777917260354,366.62960837868684,366.62960837868684
366.62960837868684,210.49777917260354,237.62470667434508,237.62470667434508
366.62960837868684,210.49777917260354,419.2028479047446,419.2028479047446
366.62960837868684,210.49777917260354,510.4271378787532,510.4271378787532
366.62960837868684,210.49777917260354,396.58036828321747,396.58036828321747
366.62960837868684,210.49777917260354,528.5214477408031,528.5214477408031
366.62960837868684,210.49777917260354,548.2088317927761,548.2088317927761
366.62960837868684,210.49777917260354,398.51465726633774,398.51465726633774
366.62960837868684,210.49777917260354,355.18459407317175,355.18459407317175
366.62960837868684,210.49777917260354,408.8441074651404,408.8441074651404
366.62960837868684,210.49777917260354,498.9948107964839,498.9948107964839
366.62960837868684,210.49777917260354,480.322437091193,480.322437091193
366.62960837868684,210.49777917260354,468.69593665938356,468.69593665938356
366.62960837868684,210.49777917260354,418.9450177032361,418.9450177032361
366.62960837868684,210.49777917260354,391.90526597471575,391.90526597471575
366.62960837868684,210.49777917260354,340.17700483127356,340.17700483127356
366.62960837868684,210.49777917260354,433.0963217318394,433.0963217318394
366.62960837868684,210.49777917260354,382.92998986078976,382.92998986078976
366.62960837868684,210.49777917260354,403.6013740094512,403.6013740094512
366.62960837868684,210.49777917260354,418.13874111333337,418.13874111333337
366.62960837868684,210.49777917260354,603.9430522840815,603.9430522840815
366.62960837868684,210.49777917260354,361.58310804890493,361.58310804890493
366.62960837868684,210.49777917260354,525.6466111999002,525.6466111999002
366.62960837868684,210.49777917260354,584.4972811608305,584.4972811608305
366.62960837868684,210.49777917260354,482.73906908133847,482.73906908133847
366.62960837868684,210.49777917260354,419.48200129259226,419.48200129259226
366.62960837868684,210.49777917260354,435.4243240747974,435.4243240747974
366.62960837868684,210.49777917260354,553.2807069308984,553.2807069308984
366.62960837868684,210.49777917260354,326.8695936691241,326.8695936691241
366.62960837868684,210.49777917260354,469.4121913940607,469.4121913940607
366.62960837868684,210.49777917260354,422.9999857694696,422.9999857694696
366.62960837868684,210.49777917260354,375.634611533215,375.634611533215
366.62960837868684,210.49777917260354,336.85044441163427,336.85044441163427
366.62960837868684,210.49777917260354,308.1853248914333,308.1853248914333
366.62960837868684,210.49777917260354,430.32152675862454,430.32152675862454
366.62960837868684,210.49777917260354,396.20505001397794,396.20505001397794
366.62960837868684,210.49777917260354,411.6406181405149,411.6406181405149
366.62960837868684,210.49777917260354,410.5520904512994,410.5520904512994
366.62960837868684,210.49777917260354,368.47875264991325,368.47875264991325
366.62960837868684,210.49777917260354,392.0257744738,392.0257744738
366.62960837868684,210.49777917260354,515.4279694433718,515.4279694433718
366.62960837868684,210.49777917260354,394.28870911584926,394.28870911584926
